id_correspondance,old_artisan_url,new_artisan_url,count_old,count_new,count_sum,,new actif
14974,de_oliveira_labouglie_s.n.c.,de_oliveira_labouglie_s_n_c,6,,6,,1
14975,coutelot_jean-marie,coutelot_jean_marie,2,,2,,1
14976,petitjean_multiservices_s.a.r.l.,petitjean_multiservices_s_a_r_l,,,0,,1
14977,j-belec,j_belec,3,,3,,1
14978,espana_et_fils,espana_fils,1,,1,,1
14979,de_wyndt_jean-claude_eurl,de_wyndt_jean_claude_eurl,6,,6,,1
14980,societe_arnaud_et_fils,societe_arnaud_fils,42,,42,,1
14981,lr_chauffage_s.a.r.l.,lr_chauffage_s_a_r_l,1,,1,,1
14982,acp_s.a.r.l.,acp_s_a_r_l,15,,15,,1
14983,couverchel_s.a.r.l.,couverchel_s_a_r_l,18,,18,,1
14984,allot_s.a.s.,allot_s_a_s,15,,15,,1
14985,ceps_s.a.r.l.,ceps_s_a_r_l,5,,5,,1
14986,erti_s.a.s.,erti_s_a_s,9,,9,,1
14987,tripogney_ludovic_s.a.r.l.,tripogney_ludovic_s_a_r_l,1,,1,,1
14988,c_et_f_plomberie,c_f_plomberie,1,,1,,1
14989,rouquet-rebours,rouquet_rebours,,,0,,1
14990,castella_joseph_et_fils_sarl,castella_joseph_fils_sarl,6,,6,,1
14991,chaffo-tech,chaffo_tech,14,,14,,1
14992,garpic_sarl_group.artis.plomb.inst.chauf.,garpic_sarl_group_artis_plomb_inst_chauf,5,,5,,1
14993,nb_chauffage_-_sanitaire_-_nicolas_bonnet,nb_chauffage_sanitaire_nicolas_bonnet,5,,5,,1
14994,izard_jean-louis,izard_jean_louis,3,,3,,1
14995,m.e.t._energie,m_e_t_energie,32,,32,,1
14996,balmes_claude-jarlet_dadid_sas,balmes_claude_jarlet_dadid_sas,8,,8,,1
14997,calmettes_jean-paul,calmettes_jean_paul,3,,3,,1
14998,david-technique-chauffage_dtc,david_technique_chauffage_dtc,2,,2,,1
14999,h._saint_paul,h_saint_paul,,,0,,1
15000,s.e.c.s.,s_e_c_s,,,0,,1
15001,smf_-_societe_morbelli_freres,smf_societe_morbelli_freres,459,1,460,,1
15002,busquet_jean-marc,busquet_jean_marc,3,,3,,1
15003,atc__applications_thermiques_contemporaines,atc_applications_thermiques_contemporaines,2,,2,,1
15004,pauleau_-_ginoux_etablissements,pauleau_ginoux_etablissements,78,1,79,,1
15005,d_arco_jean-claude_13,d_arco_jean_claude_13,,,0,,1
15006,le_petit-corps_louis_sarl,le_petit_corps_louis_sarl,30,,30,,1
15007,hautot_christophe_denis_jean-luc,hautot_christophe_denis_jean_luc,,,0,,1
15008,leconte_jean-yves,leconte_jean_yves,,,0,,1
15009,a.i.d.e.r.,a_i_d_e_r,3,,3,,1
15010,paimblanc_-_lebas,paimblanc_lebas,,,0,,1
15011,s.c.f._normandie,s_c_f_normandie,1,,1,,1
15012,a.d.p.c,a_d_p_c,19,,19,,1
15013,foubert_s.a.s,foubert_s_a_s,11,,11,,1
15014,thouret-simon,thouret_simon,,,0,,1
15015,bertrand_jean-pierre,bertrand_jean_pierre,5,,5,,1
15016,veschambre_jean-francois,veschambre_jean_francois,1,,1,,1
15017,delort_jean-pierre,delort_jean_pierre,3,,3,,1
15018,perrier-chambre_laurent,perrier_chambre_laurent,6,,6,,1
15019,thromas_jean-paul,thromas_jean_paul,2,,2,,1
15020,clerc.th,clerc_th,5,,5,,1
15021,sani-chauff-elec,sani_chauff_elec,5,,5,,1
15022,societe_nouvelle_des_etablissements_garraud_-_sng,societe_nouvelle_des_etablissements_garraud_sng,2,,2,,1
15023,grainaut-magallon_simon,grainaut_magallon_simon,3,,3,,1
15024,b.viseux,b_viseux,,,0,,1
15025,a.t.c._bernard,a_t_c_bernard,69,,69,,1
15026,a.b.c_chauffage-_phelippeau_thierry,a_b_c_chauffage_phelippeau_thierry,30,,30,,1
15027,techni-thermie_17,techni_thermie_17,12,,12,,1
15028,planeteco-sun_et_pac,planeteco_sun_pac,3,,3,,1
15029,beaupuy_jean-pierre,beaupuy_jean_pierre,7,,7,,1
15030,barret_teddy-chauffe_eco_17,barret_teddy_chauffe_eco_17,26,,26,,1
